date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,WY,NYSE,24.2544010751,24.2757330022,23.4651197736,23.8490944608,2244272.645529536,
2000-01-04,WY,NYSE,23.8064306067,24.0410818044,22.7185023263,22.953153524,2848528.0894483756,
2000-01-05,WY,NYSE,22.953153524,24.1904052939,22.8464938887,24.1690733668,2788908.8705578796,
2000-01-06,WY,NYSE,24.2970649292,25.4276570638,23.9557540962,25.2996655014,3072344.5013487623,
2000-01-07,WY,NYSE,24.5957119082,25.0010185224,24.1264095127,24.4677203458,4050441.768638336,
2000-01-10,WY,NYSE,24.6383757623,24.7023715435,23.9557540962,24.3610607104,1881426.1699050001,
2000-01-11,WY,NYSE,24.3610607104,24.5743799811,23.9344221691,24.1050775856,1557185.5819226708,
2000-01-12,WY,NYSE,23.7637667526,23.8490944608,23.4651197736,23.5291155548,1578931.9363540404,
2000-01-13,WY,NYSE,23.5291155548,23.6784390443,23.1238089405,23.4011239924,1862611.9082059502,
2000-01-14,WY,NYSE,23.5504474819,23.6997709714,23.4224559195,23.6357751902,2004329.7236013918,
2000-01-18,WY,NYSE,23.5504474819,23.6144432631,22.4625192015,22.7185023263,1905860.2760076625,
2000-01-19,WY,NYSE,21.1612716504,21.6732379,21.0546120151,21.6732379,7130360.842878924,
2000-01-20,WY,NYSE,21.6732379,22.2491999308,21.4385867023,22.1852041496,7002570.467962,
2000-01-21,WY,NYSE,22.1852041496,22.1852041496,21.4172547752,21.8012294624,3388277.4932561866,
2000-01-24,WY,NYSE,21.8012294624,21.9718848789,20.1586710782,20.8199608173,3556139.8021814767,
2000-01-25,WY,NYSE,20.3079945677,20.4999819113,19.1560705061,19.7960283181,4326547.167598421,
2000-01-26,WY,NYSE,19.7960283181,20.4786499842,19.6253729016,19.753364464,5444163.180734196,
2000-01-27,WY,NYSE,19.7960283181,20.07334337,19.3053939956,19.3480578497,2932092.7323194807,
2000-01-28,WY,NYSE,19.3480578497,20.3079945677,19.113406652,20.1586710782,5909144.21986786,
2000-01-31,WY,NYSE,20.0306795158,20.0306795158,18.8787554542,19.5827090474,2460514.4845380974,
2000-02-01,WY,NYSE,19.5827090474,20.094675297,19.2200662873,19.5400451933,3367264.162007897,
2000-02-02,WY,NYSE,19.5400451933,19.6253729016,18.8574235272,19.2840620685,4977227.413112318,
2000-02-03,WY,NYSE,19.113406652,19.2413982144,18.6227723294,18.7720958189,2972653.3484499003,
2000-02-04,WY,NYSE,18.8574235272,19.0280789437,18.4307849858,18.7720958189,4381523.906329411,
2000-02-07,WY,NYSE,18.5161126941,18.6014404024,17.7054994655,17.9188187362,4090025.020524649,
2000-02-08,WY,NYSE,18.153469934,18.494780767,17.9188187362,18.3241253505,5965587.00496501,
2000-02-09,WY,NYSE,18.1108060798,18.6014404024,17.5988398302,17.7268313926,3004417.686383361,
2000-02-10,WY,NYSE,17.6841675385,17.854822955,17.1722012889,17.7481633197,13541625.943156496,
2000-02-11,WY,NYSE,17.7481633197,18.0041464445,16.6815669663,17.5135121219,5466153.876226592,
2000-02-14,WY,NYSE,17.3001928513,17.8761548821,16.8095585287,17.7908271738,3449118.4174518157,
2000-02-15,WY,NYSE,17.7481633197,18.5374446212,17.4281844137,18.3027934234,3888443.6451776847,
2000-02-16,WY,NYSE,18.0468102986,18.4094530588,17.5988398302,18.2601295693,3184497.0483599827,
2000-02-17,WY,NYSE,18.6867681106,18.814759673,17.5775079031,17.9614825904,2834600.648969858,
2000-02-18,WY,NYSE,17.6201717573,17.7481633197,16.1909326438,16.6389031122,4196802.064193283,
2000-02-22,WY,NYSE,16.7882266017,17.5775079031,16.3829199874,17.5775079031,3808299.7771609523,
2000-02-23,WY,NYSE,17.7481633197,17.7481633197,16.8308904558,17.0655416535,2058329.0980882754,
2000-02-24,WY,NYSE,16.9802139453,16.9802139453,16.4255838415,16.9588820182,4526662.496579225,
2000-02-25,WY,NYSE,16.9375500911,17.1295374347,16.5322434769,16.8308904558,2465401.30575863,
2000-02-28,WY,NYSE,16.8522223829,17.534844049,16.7668946746,17.1508693618,3701522.7334923176,
2000-02-29,WY,NYSE,16.8095585287,17.7054994655,16.4042519145,17.5135121219,3017856.4447398256,
2000-03-01,WY,NYSE,18.2601295693,18.4094530588,17.534844049,18.2387976422,4872649.438992924,
2000-03-02,WY,NYSE,18.153469934,18.1961337881,17.5135121219,17.9401506633,1943244.458344736,
2000-03-03,WY,NYSE,18.0254783716,18.9214193084,17.8974868092,18.2387976422,3326947.886938504,
2000-03-06,WY,NYSE,18.494780767,18.494780767,17.6201717573,17.8974868092,2690683.764025177,
2000-03-07,WY,NYSE,17.8761548821,17.9828145174,17.0655416535,17.1935332159,3398784.1588803316,
2000-03-08,WY,NYSE,17.1082055077,18.4094530588,17.0228777994,17.7908271738,2802836.311036397,
2000-03-09,WY,NYSE,17.4921801949,17.7054994655,17.2788609242,17.6628356114,3234586.9658704405,
2000-03-10,WY,NYSE,17.854822955,18.9214193084,17.854822955,18.5801084753,2038293.1310840924,
2000-03-13,WY,NYSE,18.0468102986,18.8787554542,18.0254783716,18.814759673,3486258.2587278625,
2000-03-14,WY,NYSE,18.5587765482,18.6227723294,17.6841675385,17.8121591009,2608096.485398178,
2000-03-15,WY,NYSE,17.833491028,18.8787554542,17.833491028,18.6654361836,3960524.2581805387,
2000-03-16,WY,NYSE,18.6867681106,20.1800030053,18.2601295693,20.1586710782,4634661.245552992,
2000-03-17,WY,NYSE,19.9666837346,19.9666837346,18.9854150896,19.0707427978,3214306.657805231,
2000-03-20,WY,NYSE,19.1560705061,19.9880156617,19.1560705061,19.3693897768,1759744.3215137417,
2000-03-21,WY,NYSE,19.3693897768,19.7320325369,18.793427746,19.3907217038,2463690.918331444,
2000-03-22,WY,NYSE,19.1987343602,19.2840620685,18.3454572776,18.47344884,3818073.419602017,
2000-03-23,WY,NYSE,18.4307849858,19.433385558,18.3454572776,19.2627301414,2741018.022596661,
2000-03-24,WY,NYSE,18.9427512354,19.0494108708,18.4307849858,18.7294319648,1914656.554204621,
2000-03-27,WY,NYSE,18.8574235272,19.5827090474,18.7507638918,18.814759673,1069969.506235584,
2000-03-28,WY,NYSE,18.7507638918,19.2627301414,18.7507638918,18.8360916001,2242317.9170413227,
2000-03-29,WY,NYSE,18.8574235272,19.454717485,18.7294319648,19.3907217038,2158020.2509871377,
2000-03-30,WY,NYSE,19.6253729016,20.393322276,19.454717485,20.2013349324,2347628.9143437976,
2000-03-31,WY,NYSE,20.1800030053,20.5639776925,19.454717485,19.454717485,3441299.503498964,
2000-04-03,WY,NYSE,19.753364464,20.3079945677,19.113406652,19.9453518076,3683441.494976348,
2000-04-04,WY,NYSE,20.0306795158,20.2439987865,18.6014404024,19.3480578497,2706321.5919308807,
2000-04-05,WY,NYSE,19.2840620685,19.9240198805,19.0920747249,19.3693897768,2394298.0569998827,
2000-04-06,WY,NYSE,19.2413982144,20.0093475888,19.2413982144,19.5400451933,1531774.111575902,
2000-04-07,WY,NYSE,19.5400451933,19.9026879534,19.2413982144,19.9026879534,2472242.8554673754,
2000-04-10,WY,NYSE,20.2439987865,20.7986288903,20.2013349324,20.713301182,2636440.0484772664,
2000-04-11,WY,NYSE,20.8839565985,21.6305740459,20.8839565985,20.9479523797,3716427.538214942,
2000-04-12,WY,NYSE,21.4599186293,22.0998764413,21.0972758692,21.1399397233,3990822.54974784,
2000-04-13,WY,NYSE,21.2039355045,21.2252674316,19.8173602452,20.0306795158,2835578.0132139646,
2000-04-14,WY,NYSE,20.07334337,20.07334337,18.47344884,18.8787554542,1728957.347824387,
2000-04-17,WY,NYSE,18.9640831625,19.3907217038,18.5374446212,18.7720958189,4075364.5568630514,
2000-04-18,WY,NYSE,19.0067470166,19.0280789437,18.0894741528,18.174801861,2987802.494233551,
