date,code,exchange,open,high,low,close,volume,count_trx
2002-09-25,XEC,NYSE,16.1,16.1,16.1,16.1,1000.0,
2002-09-26,XEC,NYSE,16.1,16.4,16.1,16.4,111900.0,
2002-09-27,XEC,NYSE,16.25,16.3,16.05,16.1,37100.0,
2002-09-30,XEC,NYSE,16.0,17.25,15.8,17.25,763200.0,
2002-10-01,XEC,NYSE,17.2,17.65,16.78,16.78,598100.0,
2002-10-02,XEC,NYSE,16.78,16.78,15.35,15.7,535300.0,
2002-10-03,XEC,NYSE,15.55,16.38,15.55,16.1,578300.0,
2002-10-04,XEC,NYSE,16.0,16.1,15.55,15.68,256100.0,
2002-10-07,XEC,NYSE,15.75,16.0,15.0,15.0,425100.0,
2002-10-08,XEC,NYSE,14.4,14.4,13.77,14.04,370200.0,
2002-10-09,XEC,NYSE,14.1,14.25,13.95,14.0,279200.0,
2002-10-10,XEC,NYSE,13.95,14.0,13.23,13.49,642000.0,
2002-10-11,XEC,NYSE,13.59,13.88,13.45,13.6,468000.0,
2002-10-14,XEC,NYSE,13.4,14.3,13.4,14.17,153500.0,
2002-10-15,XEC,NYSE,14.12,14.98,14.12,14.95,309700.0,
2002-10-16,XEC,NYSE,14.85,14.95,14.12,14.15,267200.0,
2002-10-17,XEC,NYSE,14.15,14.48,14.14,14.39,681000.0,
2002-10-18,XEC,NYSE,14.4,14.93,14.2,14.76,276500.0,
2002-10-21,XEC,NYSE,14.55,14.94,14.5,14.77,244700.0,
2002-10-22,XEC,NYSE,14.75,15.1,14.6,15.1,265500.0,
2002-10-23,XEC,NYSE,15.1,15.38,15.0,15.34,236200.0,
2002-10-24,XEC,NYSE,15.3,15.48,15.28,15.48,202400.0,
2002-10-25,XEC,NYSE,15.48,15.48,15.05,15.37,262200.0,
2002-10-28,XEC,NYSE,15.35,15.42,15.25,15.35,342300.0,
2002-10-29,XEC,NYSE,15.35,15.35,15.2,15.34,183900.0,
2002-10-30,XEC,NYSE,15.35,16.08,15.35,16.0,134000.0,
2002-10-31,XEC,NYSE,16.0,16.03,15.9,15.9,197300.0,
2002-11-01,XEC,NYSE,15.9,16.0,15.72,16.0,96800.0,
2002-11-04,XEC,NYSE,15.97,16.1,15.75,15.85,86000.0,
2002-11-05,XEC,NYSE,15.85,15.85,15.45,15.61,249600.0,
2002-11-06,XEC,NYSE,15.65,15.73,15.5,15.55,167900.0,
2002-11-07,XEC,NYSE,15.5,15.65,15.05,15.57,200500.0,
2002-11-08,XEC,NYSE,15.49,15.49,14.8,15.1,69800.0,
2002-11-11,XEC,NYSE,14.85,15.16,14.72,15.15,40700.0,
2002-11-12,XEC,NYSE,15.08,15.15,14.92,15.12,38700.0,
2002-11-13,XEC,NYSE,15.12,15.12,14.6,14.6,310200.0,
2002-11-14,XEC,NYSE,14.6,14.83,14.45,14.69,57500.0,
2002-11-15,XEC,NYSE,14.55,14.71,14.26,14.6,130000.0,
