date,code,exchange,open,high,low,close,volume,count_trx
2011-10-13,XYL,NYSE,23.5,24.27,23.15,24.25,136900.0,
2011-10-14,XYL,NYSE,24.36,25.49,24.36,25.35,201159.0,
2011-10-17,XYL,NYSE,25.5,25.8,25.16,25.16,375488.0,
2011-10-18,XYL,NYSE,25.06,25.36,24.9,25.2,58050.0,
2011-10-19,XYL,NYSE,25.25,25.35,24.75,24.75,325289.0,
2011-10-20,XYL,NYSE,24.8,25.03,24.34,24.75,249841.0,
2011-10-21,XYL,NYSE,25.0,25.75,24.95,25.54,522116.0,
2011-10-24,XYL,NYSE,25.5,25.85,25.5,25.77,206294.0,
2011-10-25,XYL,NYSE,25.88,26.08,25.05,25.75,227344.0,
2011-10-26,XYL,NYSE,26.09,26.09,24.89,25.02,328005.0,
2011-10-27,XYL,NYSE,25.25,25.95,25.25,25.62,150764.0,
2011-10-28,XYL,NYSE,25.5,25.82,25.27,25.82,352309.0,
2011-10-31,XYL,NYSE,26.25,26.74,25.25,26.74,8543401.0,
2011-11-01,XYL,NYSE,25.6,27.71,25.17,27.31,2785794.0,
2011-11-02,XYL,NYSE,27.35,27.35,25.79,26.62,832362.0,
2011-11-03,XYL,NYSE,26.86,27.07,26.39,26.39,377493.0,
2011-11-04,XYL,NYSE,26.17,26.59,24.89,25.19,435179.0,
2011-11-07,XYL,NYSE,25.28,25.48,24.38,24.6,638690.0,
2011-11-08,XYL,NYSE,25.1,25.33,24.76,24.94,484220.0,
2011-11-09,XYL,NYSE,24.66,25.0,23.84,23.89,401130.0,
2011-11-10,XYL,NYSE,24.63,24.69,23.52,23.65,308647.0,
2011-11-11,XYL,NYSE,23.91,24.07,23.64,23.79,254135.0,
2011-11-14,XYL,NYSE,23.58,24.1,23.49,23.93,241827.0,
2011-11-15,XYL,NYSE,23.94,24.36,23.84,23.99,585944.0,
2011-11-16,XYL,NYSE,23.95,24.6,23.8,24.12,440087.0,
2011-11-17,XYL,NYSE,24.0,24.13,23.66,23.85,327967.0,
2011-11-18,XYL,NYSE,23.75,24.14,23.74,23.93,406054.0,
2011-11-21,XYL,NYSE,23.4,23.81,23.4,23.62,349715.0,
2011-11-22,XYL,NYSE,25.99,25.99,22.67,23.63,772288.0,
2011-11-23,XYL,NYSE,23.27,23.75,22.89,23.68,312486.0,
2011-11-25,XYL,NYSE,23.2,23.25,22.88,23.0,410232.0,
2011-11-28,XYL,NYSE,23.51,24.18,23.15,23.49,458843.0,
2011-11-29,XYL,NYSE,23.51,23.58,23.17,23.27,264898.0,
2011-11-30,XYL,NYSE,24.17,24.19,23.33,23.9,1002062.0,
2011-12-01,XYL,NYSE,23.81,24.35,23.65,24.27,255671.0,
2011-12-02,XYL,NYSE,24.88,25.09,24.22,24.25,368174.0,
2011-12-05,XYL,NYSE,24.57,25.15,24.45,25.09,306569.0,
2011-12-06,XYL,NYSE,25.02,25.07,24.51,24.83,184183.0,
2011-12-07,XYL,NYSE,24.72,24.83,23.88,24.57,200873.0,
2011-12-08,XYL,NYSE,24.45,24.55,23.8,23.88,267129.0,
2011-12-09,XYL,NYSE,24.07,24.46,23.96,24.35,154203.0,
2011-12-12,XYL,NYSE,24.19,24.19,23.25,23.92,341388.0,
2011-12-13,XYL,NYSE,24.02,24.44,23.71,23.85,354534.0,
2011-12-14,XYL,NYSE,23.39,23.49,22.93,23.41,370004.0,
2011-12-15,XYL,NYSE,23.69,24.06,23.46,23.92,199192.0,
2011-12-16,XYL,NYSE,24.11,24.94,24.06,24.67,919266.0,
2011-12-19,XYL,NYSE,24.67,24.85,24.15,24.25,224330.0,
2011-12-20,XYL,NYSE,24.65,24.72,23.97,24.31,360577.0,
2011-12-21,XYL,NYSE,24.16,25.03,24.04,24.92,506091.0,
2011-12-22,XYL,NYSE,25.12,25.65,24.8,24.83,246899.0,
2011-12-23,XYL,NYSE,24.83,25.13,24.72,24.91,159730.0,
2011-12-27,XYL,NYSE,24.92,25.05,24.47,25.05,304977.0,
2011-12-28,XYL,NYSE,25.34,25.76,25.17,25.56,267795.0,
2011-12-29,XYL,NYSE,25.67,26.45,25.52,25.95,1252462.0,
2011-12-30,XYL,NYSE,25.99,25.99,25.14,25.69,440947.0,
2012-01-03,XYL,NYSE,26.15,26.41,25.07,25.14,391376.0,
2012-01-04,XYL,NYSE,25.07,26.07,24.84,25.97,363962.0,
2012-01-05,XYL,NYSE,25.78,25.81,24.87,25.6,820963.0,
2012-01-06,XYL,NYSE,25.54,25.62,25.12,25.17,173817.0,
2012-01-09,XYL,NYSE,25.22,25.42,24.82,25.27,175560.0,
2012-01-10,XYL,NYSE,25.56,25.7,25.26,25.58,323435.0,
2012-01-11,XYL,NYSE,25.46,26.25,25.39,26.06,354513.0,
2012-01-12,XYL,NYSE,26.14,26.14,25.68,25.7,262485.0,
2012-01-13,XYL,NYSE,25.45,25.68,25.34,25.63,309417.0,
2012-01-17,XYL,NYSE,25.9,26.28,25.59,25.63,150941.0,
2012-01-18,XYL,NYSE,25.47,27.04,25.43,26.99,426199.0,
2012-01-19,XYL,NYSE,27.0,27.29,26.44,26.62,232075.0,
2012-01-20,XYL,NYSE,26.62,26.62,26.3,26.36,385712.0,
2012-01-23,XYL,NYSE,26.48,26.6,25.56,25.75,219740.0,
2012-01-24,XYL,NYSE,25.69,26.21,25.6,26.14,252221.0,
2012-01-25,XYL,NYSE,26.0,26.63,25.83,26.6,270525.0,
2012-01-26,XYL,NYSE,26.81,26.85,25.77,25.94,248642.0,
2012-01-27,XYL,NYSE,25.86,25.98,25.62,25.81,253816.0,
2012-01-30,XYL,NYSE,25.6,25.96,25.51,25.92,147364.0,
2012-01-31,XYL,NYSE,26.07,26.25,25.66,25.91,290947.0,
2012-02-01,XYL,NYSE,25.96,26.85,25.92,26.82,242507.0,
2012-02-02,XYL,NYSE,26.86,26.96,26.62,26.65,212050.0,
2012-02-03,XYL,NYSE,26.99,27.08,26.57,27.03,228066.0,
2012-02-06,XYL,NYSE,26.91,27.1,26.65,26.78,141801.0,
2012-02-07,XYL,NYSE,26.7,27.35,26.53,27.22,232266.0,
2012-02-08,XYL,NYSE,27.18,27.39,26.83,27.39,262763.0,
2012-02-09,XYL,NYSE,27.34,27.37,26.91,27.13,146118.0,
2012-02-10,XYL,NYSE,26.9,27.13,26.83,27.07,137420.0,
2012-02-13,XYL,NYSE,27.18,27.24,26.83,27.03,185372.0,
2012-02-14,XYL,NYSE,26.9,27.21,26.82,26.92,228251.0,
2012-02-15,XYL,NYSE,26.97,27.1,26.87,27.0,202375.0,
2012-02-16,XYL,NYSE,27.0,27.32,26.96,27.15,181762.0,
2012-02-17,XYL,NYSE,27.26,27.63,27.18,27.59,277266.0,
2012-02-21,XYL,NYSE,27.66,28.12,27.51,27.82,209381.0,
2012-02-22,XYL,NYSE,27.89,28.06,27.49,27.53,154263.0,
2012-02-23,XYL,NYSE,27.52,27.82,27.3,27.78,131043.0,
2012-02-24,XYL,NYSE,27.89,27.94,27.24,27.26,242819.0,
2012-02-27,XYL,NYSE,27.1,27.4,26.88,27.36,493542.0,
2012-02-28,XYL,NYSE,27.0,27.05,26.12,26.84,586842.0,
2012-02-29,XYL,NYSE,26.7,26.94,25.91,25.98,2736527.0,
2012-03-01,XYL,NYSE,26.03,26.73,25.79,26.69,512513.0,
2012-03-02,XYL,NYSE,26.6,26.95,26.5,26.6,415843.0,
2012-03-05,XYL,NYSE,26.6,26.69,26.04,26.22,345612.0,
2012-03-06,XYL,NYSE,25.88,26.02,25.39,25.85,341442.0,
2012-03-07,XYL,NYSE,26.09,26.29,25.75,26.21,323523.0,
2012-03-08,XYL,NYSE,26.3,26.69,25.97,26.62,332125.0,
2012-03-09,XYL,NYSE,26.57,27.35,26.56,27.25,272091.0,
2012-03-12,XYL,NYSE,27.38,27.62,27.28,27.53,213515.0,
2012-03-13,XYL,NYSE,27.64,28.44,27.64,28.42,323309.0,
2012-03-14,XYL,NYSE,28.41,28.48,28.21,28.36,185027.0,
2012-03-15,XYL,NYSE,28.39,28.83,28.1,28.73,185571.0,
2012-03-16,XYL,NYSE,28.77,28.83,28.17,28.19,496567.0,
2012-03-19,XYL,NYSE,28.21,28.49,27.88,27.94,277415.0,
2012-03-20,XYL,NYSE,27.85,27.92,27.09,27.31,328741.0,
2012-03-21,XYL,NYSE,27.3,27.56,27.28,27.33,181545.0,
2012-03-22,XYL,NYSE,27.13,27.37,26.99,27.22,229588.0,
2012-03-23,XYL,NYSE,27.37,27.37,27.06,27.2,176186.0,
2012-03-26,XYL,NYSE,27.44,27.86,27.43,27.85,242392.0,
2012-03-27,XYL,NYSE,27.92,28.02,27.61,27.99,215872.0,
2012-03-28,XYL,NYSE,27.93,28.11,27.55,27.96,280635.0,
2012-03-29,XYL,NYSE,27.75,27.75,27.26,27.66,227939.0,
2012-03-30,XYL,NYSE,27.83,27.83,27.41,27.75,560746.0,
2012-04-02,XYL,NYSE,27.71,28.35,27.7,28.32,271688.0,
2012-04-03,XYL,NYSE,28.34,28.54,27.93,28.25,349731.0,
2012-04-04,XYL,NYSE,27.91,27.93,27.58,27.8,365731.0,
2012-04-05,XYL,NYSE,27.78,28.23,27.78,27.97,174171.0,
2012-04-09,XYL,NYSE,27.5,27.55,27.21,27.36,176854.0,
2012-04-10,XYL,NYSE,27.24,27.31,26.6,26.94,287453.0,
2012-04-11,XYL,NYSE,27.21,27.29,26.83,27.0,291400.0,
2012-04-12,XYL,NYSE,26.91,27.39,26.9,27.32,212454.0,
2012-04-13,XYL,NYSE,27.18,27.21,26.79,26.83,233130.0,
2012-04-16,XYL,NYSE,27.11,27.3,26.51,26.9,221696.0,
2012-04-17,XYL,NYSE,27.29,27.31,26.85,27.2,244849.0,
2012-04-18,XYL,NYSE,27.15,27.72,27.04,27.65,221118.0,
2012-04-19,XYL,NYSE,27.61,27.96,26.9,27.1,250521.0,
2012-04-20,XYL,NYSE,27.22,27.64,27.07,27.36,453274.0,
2012-04-23,XYL,NYSE,26.99,26.99,26.52,26.89,155766.0,
2012-04-24,XYL,NYSE,26.95,27.5,26.91,27.1,136136.0,
2012-04-25,XYL,NYSE,27.34,27.8,27.34,27.7,213441.0,
2012-04-26,XYL,NYSE,27.64,28.1,27.64,28.1,158059.0,
2012-04-27,XYL,NYSE,28.21,28.51,28.15,28.38,178868.0,
2012-04-30,XYL,NYSE,28.27,28.27,27.81,27.88,127192.0,
2012-05-01,XYL,NYSE,27.91,28.31,27.58,27.66,201389.0,
2012-05-02,XYL,NYSE,27.45,27.95,27.41,27.76,191756.0,
2012-05-03,XYL,NYSE,27.69,27.71,27.06,27.3,201717.0,
2012-05-04,XYL,NYSE,27.3,27.3,26.45,26.45,214981.0,
2012-05-07,XYL,NYSE,26.39,26.64,26.15,26.21,239127.0,1155.0
2012-05-08,XYL,NYSE,26.1,26.44,25.65,26.36,239610.0,1010.0
2012-05-09,XYL,NYSE,25.95,26.39,25.61,26.13,237762.0,1166.0
2012-05-10,XYL,NYSE,26.37,26.54,26.06,26.14,168730.0,690.0
2012-05-11,XYL,NYSE,26.0,26.46,26.0,26.03,252930.0,928.0
2012-05-14,XYL,NYSE,25.83,26.05,25.43,25.43,227818.0,781.0
2012-05-15,XYL,NYSE,25.38,25.56,25.17,25.21,164104.0,754.0
2012-05-16,XYL,NYSE,25.45,25.76,25.3,25.37,205741.0,991.0
2012-05-17,XYL,NYSE,25.34,25.34,24.42,24.42,190011.0,944.0
2012-05-18,XYL,NYSE,24.42,24.85,24.42,24.67,372192.0,1083.0
2012-05-21,XYL,NYSE,24.72,25.5,24.72,25.34,229928.0,1030.0
2012-05-22,XYL,NYSE,25.47,25.85,25.39,25.59,254475.0,1018.0
2012-05-23,XYL,NYSE,25.37,25.79,24.83,25.79,205482.0,1008.0
2012-05-24,XYL,NYSE,26.02,26.14,25.77,26.14,132137.0,737.0
2012-05-25,XYL,NYSE,26.19,26.31,25.62,25.65,189418.0,854.0
2012-05-29,XYL,NYSE,25.81,26.33,25.75,25.89,231938.0,960.0
2012-05-30,XYL,NYSE,25.36,25.84,25.27,25.45,173420.0,895.0
2012-05-31,XYL,NYSE,25.48,25.52,24.98,25.33,507054.0,990.0
2012-06-01,XYL,NYSE,24.71,25.01,24.47,24.48,293498.0,1113.0
2012-06-04,XYL,NYSE,24.48,24.54,24.04,24.51,224259.0,1288.0
2012-06-05,XYL,NYSE,24.38,24.66,23.95,24.58,165184.0,859.0
2012-06-06,XYL,NYSE,24.89,25.49,24.89,25.49,216295.0,881.0
2012-06-07,XYL,NYSE,25.95,26.1,25.6,25.74,243265.0,1102.0
2012-06-08,XYL,NYSE,25.6,26.08,25.33,25.92,195161.0,1012.0
2012-06-11,XYL,NYSE,26.28,26.3,25.45,25.51,179440.0,874.0
2012-06-12,XYL,NYSE,25.5,25.67,25.36,25.58,274279.0,1116.0
2012-06-13,XYL,NYSE,25.34,25.48,25.08,25.17,143294.0,720.0
2012-06-14,XYL,NYSE,25.21,25.21,24.92,25.0,377652.0,1388.0
2012-06-15,XYL,NYSE,25.13,25.43,24.92,25.32,2205113.0,1211.0
2012-06-18,XYL,NYSE,25.21,25.28,24.95,25.13,246709.0,971.0
2012-06-19,XYL,NYSE,25.25,25.6,25.05,25.08,280922.0,1538.0
2012-06-20,XYL,NYSE,25.03,25.05,24.49,24.72,271533.0,1282.0
2012-06-21,XYL,NYSE,25.24,25.42,24.27,24.28,448624.0,2210.0
2012-06-22,XYL,NYSE,24.39,24.39,23.89,24.02,563307.0,1815.0
2012-06-25,XYL,NYSE,23.75,23.77,23.21,23.61,325391.0,1373.0
2012-06-26,XYL,NYSE,23.62,24.07,23.48,23.92,301204.0,1272.0
2012-06-27,XYL,NYSE,23.98,24.34,23.98,24.29,245231.0,892.0
2012-06-28,XYL,NYSE,23.43,24.6,23.02,24.59,690479.0,3384.0
2012-06-29,XYL,NYSE,25.12,25.51,25.03,25.17,511545.0,1945.0
2012-07-02,XYL,NYSE,25.27,25.46,24.9,25.04,214010.0,978.0
2012-07-03,XYL,NYSE,24.99,25.68,24.94,25.68,117133.0,633.0
2012-07-05,XYL,NYSE,25.6,25.7,25.33,25.53,208659.0,998.0
2012-07-06,XYL,NYSE,25.22,25.5,25.15,25.2,146500.0,636.0
2012-07-09,XYL,NYSE,25.09,25.24,24.78,25.0,196324.0,711.0
2012-07-10,XYL,NYSE,25.2,25.4,24.28,24.36,263224.0,1157.0
2012-07-11,XYL,NYSE,24.31,24.31,23.31,23.93,379130.0,1726.0
2012-07-12,XYL,NYSE,23.62,23.62,23.17,23.18,369944.0,1633.0
2012-07-13,XYL,NYSE,23.23,23.85,23.22,23.31,625684.0,2491.0
2012-07-16,XYL,NYSE,23.24,23.48,23.0,23.16,283801.0,1382.0
2012-07-17,XYL,NYSE,23.29,23.68,23.2,23.65,241859.0,1291.0
2012-07-18,XYL,NYSE,23.53,24.06,23.53,23.93,223038.0,1137.0
2012-07-19,XYL,NYSE,23.96,24.16,23.67,24.12,269196.0,1181.0
2012-07-20,XYL,NYSE,23.96,24.21,23.73,23.79,205841.0,599.0
2012-07-23,XYL,NYSE,23.41,23.99,23.31,23.88,196654.0,878.0
2012-07-24,XYL,NYSE,23.8,23.93,23.38,23.59,268658.0,1066.0
2012-07-25,XYL,NYSE,23.76,23.97,23.52,23.91,170072.0,702.0
2012-07-26,XYL,NYSE,24.24,24.25,23.7,23.73,221414.0,898.0
2012-07-27,XYL,NYSE,23.92,24.28,23.77,24.2,186104.0,651.0
2012-07-30,XYL,NYSE,24.17,24.28,24.01,24.2,124365.0,466.0
2012-07-31,XYL,NYSE,24.17,24.22,23.95,23.98,196938.0,619.0
2012-08-01,XYL,NYSE,24.1,24.18,23.54,23.9,263541.0,1100.0
2012-08-02,XYL,NYSE,23.0,23.71,22.45,23.57,637673.0,2759.0
2012-08-03,XYL,NYSE,23.68,24.14,23.67,24.03,370129.0,1453.0
2012-08-06,XYL,NYSE,24.07,24.25,23.83,24.13,190852.0,924.0
2012-08-07,XYL,NYSE,24.24,24.26,24.08,24.24,117480.0,466.0
2012-08-08,XYL,NYSE,24.11,24.23,23.9,24.15,132113.0,565.0
2012-08-09,XYL,NYSE,24.15,24.63,24.09,24.47,122894.0,666.0
2012-08-10,XYL,NYSE,24.36,24.71,24.26,24.46,208696.0,848.0
2012-08-13,XYL,NYSE,24.39,24.64,24.27,24.51,109753.0,480.0
2012-08-14,XYL,NYSE,24.67,24.8,23.97,24.06,164383.0,690.0
2012-08-15,XYL,NYSE,24.0,24.29,23.95,24.29,170327.0,694.0
2012-08-16,XYL,NYSE,24.25,25.06,24.25,24.94,343112.0,1507.0
2012-08-17,XYL,NYSE,24.95,25.17,24.95,25.14,259748.0,778.0
2012-08-20,XYL,NYSE,25.07,25.4,25.07,25.29,184165.0,941.0
2012-08-21,XYL,NYSE,25.39,25.71,25.2,25.2,202713.0,874.0
2012-08-22,XYL,NYSE,25.1,25.2,24.84,25.02,188547.0,520.0
2012-08-23,XYL,NYSE,24.97,25.1,24.54,24.63,181787.0,878.0
2012-08-24,XYL,NYSE,24.58,24.72,24.35,24.5,254880.0,841.0
2012-08-27,XYL,NYSE,24.67,24.68,24.11,24.14,246636.0,940.0
2012-08-28,XYL,NYSE,24.1,24.27,23.97,24.05,169552.0,671.0
2012-08-29,XYL,NYSE,24.07,24.14,23.88,24.01,183481.0,788.0
2012-08-30,XYL,NYSE,23.85,24.18,23.85,24.09,131260.0,574.0
2012-08-31,XYL,NYSE,24.23,24.31,23.94,24.29,577720.0,1227.0
2012-09-04,XYL,NYSE,24.23,24.23,23.82,24.0,212802.0,790.0
2012-09-05,XYL,NYSE,24.04,24.22,23.91,24.07,223320.0,954.0
2012-09-06,XYL,NYSE,24.31,24.97,24.31,24.97,229083.0,1058.0
2012-09-07,XYL,NYSE,25.14,25.51,24.87,25.1,173644.0,849.0
2012-09-10,XYL,NYSE,24.87,24.95,24.57,24.58,215656.0,972.0
2012-09-11,XYL,NYSE,24.63,25.47,24.57,25.38,344939.0,1310.0
2012-09-12,XYL,NYSE,25.4,25.46,24.83,25.0,196539.0,1004.0
2012-09-13,XYL,NYSE,25.06,25.45,24.8,25.36,172198.0,986.0
2012-09-14,XYL,NYSE,25.38,25.68,25.34,25.57,473580.0,1553.0
2012-09-17,XYL,NYSE,25.57,25.57,25.11,25.34,179800.0,902.0
2012-09-18,XYL,NYSE,25.26,25.71,25.23,25.71,234341.0,1059.0
2012-09-19,XYL,NYSE,25.66,25.99,25.58,25.98,253439.0,1184.0
2012-09-20,XYL,NYSE,25.66,25.91,25.25,25.6,251376.0,1106.0
2012-09-21,XYL,NYSE,25.7,25.78,25.37,25.44,665281.0,836.0
2012-09-24,XYL,NYSE,25.3,25.58,25.26,25.5,300695.0,986.0
2012-09-25,XYL,NYSE,25.55,25.7,25.41,25.41,367256.0,1756.0
2012-09-26,XYL,NYSE,25.44,25.51,24.81,24.98,269833.0,1299.0
2012-09-27,XYL,NYSE,25.14,25.5,24.98,25.3,260215.0,1297.0
2012-09-28,XYL,NYSE,25.17,25.33,25.0,25.15,495122.0,1147.0
2012-10-01,XYL,NYSE,25.25,25.5,24.85,25.24,287657.0,1291.0
2012-10-02,XYL,NYSE,25.29,25.49,25.07,25.25,136062.0,717.0
2012-10-03,XYL,NYSE,25.35,25.35,24.9,25.02,163244.0,676.0
2012-10-04,XYL,NYSE,25.15,25.28,24.99,25.15,132019.0,691.0
2012-10-05,XYL,NYSE,25.32,25.49,25.04,25.14,154811.0,787.0
2012-10-08,XYL,NYSE,25.07,25.14,24.92,25.11,85773.0,411.0
2012-10-09,XYL,NYSE,25.12,25.17,24.76,24.79,134794.0,692.0
2012-10-10,XYL,NYSE,24.8,24.83,24.47,24.56,105310.0,470.0
2012-10-11,XYL,NYSE,24.7,24.77,24.28,24.32,146363.0,505.0
2012-10-12,XYL,NYSE,24.58,24.85,24.54,24.61,195338.0,682.0
2012-10-15,XYL,NYSE,24.68,24.83,24.37,24.73,115942.0,386.0
2012-10-16,XYL,NYSE,24.82,25.42,24.61,25.37,175232.0,892.0
2012-10-17,XYL,NYSE,25.26,25.48,25.01,25.08,263891.0,930.0
2012-10-18,XYL,NYSE,24.37,24.72,24.13,24.64,341775.0,1348.0
2012-10-19,XYL,NYSE,24.49,24.49,23.91,24.22,604947.0,1316.0
2012-10-22,XYL,NYSE,24.13,24.31,23.89,24.29,186267.0,632.0
