date,code,exchange,open,high,low,close,volume,count_trx
2013-02-01,ZTS,NYSE,31.5,31.74,30.5,31.01,34150821.0,31117.0
2013-02-04,ZTS,NYSE,31.0,31.99,30.76,31.02,1751164.0,4465.0
2013-02-05,ZTS,NYSE,31.25,31.98,30.85,31.04,946991.0,2706.0
2013-02-06,ZTS,NYSE,30.98,31.43,30.75,31.03,455710.0,1638.0
2013-02-07,ZTS,NYSE,31.0,32.73,31.0,32.0,851904.0,3465.0
2013-02-08,ZTS,NYSE,32.49,33.47,32.43,33.05,520629.0,2495.0
2013-02-11,ZTS,NYSE,33.06,33.5,32.88,33.26,239441.0,863.0
2013-02-12,ZTS,NYSE,33.44,34.0,33.15,33.74,254227.0,867.0
2013-02-13,ZTS,NYSE,33.8,33.8,33.0,33.55,250920.0,822.0
2013-02-14,ZTS,NYSE,33.44,33.44,32.79,33.27,322208.0,1162.0
2013-02-15,ZTS,NYSE,33.31,34.08,33.0,33.98,1794577.0,2373.0
2013-02-19,ZTS,NYSE,34.02,34.05,33.57,33.84,333500.0,1283.0
2013-02-20,ZTS,NYSE,33.84,33.88,32.6,32.72,335855.0,1531.0
2013-02-21,ZTS,NYSE,32.5,32.8,31.86,32.56,526868.0,2222.0
2013-02-22,ZTS,NYSE,32.78,32.89,32.51,32.59,134471.0,560.0
2013-02-25,ZTS,NYSE,32.68,32.69,32.0,32.07,270320.0,781.0
2013-02-26,ZTS,NYSE,32.05,32.4,32.0,32.04,125785.0,378.0
2013-02-27,ZTS,NYSE,32.0,33.02,32.0,32.32,129943.0,676.0
2013-02-28,ZTS,NYSE,32.7,33.5,32.63,33.45,1131091.0,1180.0
2013-03-01,ZTS,NYSE,33.36,34.7,33.15,34.6,424413.0,1882.0
2013-03-04,ZTS,NYSE,34.85,34.89,34.24,34.35,138957.0,639.0
2013-03-05,ZTS,NYSE,34.41,34.46,33.75,34.29,106394.0,511.0
2013-03-06,ZTS,NYSE,34.34,34.37,33.85,33.85,194690.0,476.0
2013-03-07,ZTS,NYSE,33.95,34.68,33.56,34.56,182767.0,898.0
2013-03-08,ZTS,NYSE,34.03,34.69,33.8,34.09,287955.0,1251.0
2013-03-11,ZTS,NYSE,33.85,34.26,33.25,34.18,393814.0,2042.0
2013-03-12,ZTS,NYSE,34.15,34.24,33.61,33.82,220605.0,1051.0
2013-03-13,ZTS,NYSE,33.88,34.06,33.12,34.0,274982.0,1236.0
2013-03-14,ZTS,NYSE,34.33,35.4,34.31,34.64,217162.0,1174.0
2013-03-15,ZTS,NYSE,34.7,34.71,33.31,33.44,826346.0,760.0
2013-03-18,ZTS,NYSE,32.75,32.93,32.65,32.84,298084.0,788.0
2013-03-19,ZTS,NYSE,32.8,33.37,32.35,32.8,228612.0,883.0
2013-03-20,ZTS,NYSE,32.6,33.54,32.5,33.51,220019.0,824.0
2013-03-21,ZTS,NYSE,33.9,34.0,33.29,33.47,95356.0,403.0
2013-03-22,ZTS,NYSE,33.55,33.73,32.76,33.12,87526.0,357.0
2013-03-25,ZTS,NYSE,33.48,33.48,32.25,32.46,124656.0,548.0
2013-03-26,ZTS,NYSE,32.73,32.73,32.0,32.51,196451.0,693.0
2013-03-27,ZTS,NYSE,32.15,32.89,32.08,32.74,294780.0,1285.0
2013-03-28,ZTS,NYSE,32.85,33.5,32.63,33.4,3158642.0,2179.0
2013-04-01,ZTS,NYSE,33.39,33.58,32.43,32.59,268046.0,1354.0
2013-04-02,ZTS,NYSE,32.66,33.12,32.46,32.55,102046.0,647.0
2013-04-03,ZTS,NYSE,32.67,32.98,32.36,32.53,145969.0,440.0
2013-04-04,ZTS,NYSE,32.41,32.48,31.71,31.84,228624.0,689.0
2013-04-05,ZTS,NYSE,31.73,32.07,30.57,31.96,296784.0,1614.0
2013-04-08,ZTS,NYSE,31.95,32.98,31.8,32.92,240200.0,1177.0
2013-04-09,ZTS,NYSE,33.05,33.58,32.56,33.44,131909.0,721.0
2013-04-10,ZTS,NYSE,33.76,33.76,32.98,33.15,143498.0,636.0
2013-04-11,ZTS,NYSE,33.22,33.22,32.92,33.16,65693.0,373.0
2013-04-12,ZTS,NYSE,32.97,33.34,32.6,33.23,128007.0,500.0
2013-04-15,ZTS,NYSE,33.07,33.23,32.19,32.24,154736.0,634.0
2013-04-16,ZTS,NYSE,32.54,33.36,32.3,33.21,246311.0,1265.0
2013-04-17,ZTS,NYSE,32.98,33.2,32.17,32.89,352971.0,1979.0
2013-04-18,ZTS,NYSE,33.1,33.1,32.38,32.47,134261.0,684.0
2013-04-19,ZTS,NYSE,32.71,32.78,31.81,32.71,197731.0,1059.0
2013-04-22,ZTS,NYSE,32.9,32.9,32.22,32.66,167964.0,843.0
2013-04-23,ZTS,NYSE,32.93,32.93,31.5,31.7,312529.0,1304.0
2013-04-24,ZTS,NYSE,31.63,31.63,30.42,30.62,449031.0,1860.0
2013-04-25,ZTS,NYSE,30.93,31.97,30.79,31.55,218536.0,1119.0
2013-04-26,ZTS,NYSE,31.61,32.68,31.61,32.64,285502.0,1495.0
2013-04-29,ZTS,NYSE,32.95,32.95,32.17,32.66,400240.0,1429.0
2013-04-30,ZTS,NYSE,33.9,34.72,32.95,33.02,533055.0,2506.0
2013-05-01,ZTS,NYSE,32.97,33.51,32.67,33.39,152133.0,728.0
2013-05-02,ZTS,NYSE,33.38,33.87,33.15,33.28,73722.0,423.0
2013-05-03,ZTS,NYSE,33.62,33.62,33.0,33.21,84276.0,292.0
2013-05-06,ZTS,NYSE,33.35,33.41,32.76,32.94,75899.0,441.0
2013-05-07,ZTS,NYSE,33.08,33.08,32.32,32.88,76041.0,403.0
2013-05-08,ZTS,NYSE,33.0,33.43,32.73,33.26,176403.0,953.0
2013-05-09,ZTS,NYSE,33.31,33.66,33.28,33.55,225942.0,1368.0
2013-05-10,ZTS,NYSE,33.54,33.61,32.97,33.18,81969.0,482.0
2013-05-13,ZTS,NYSE,33.06,33.49,32.75,33.04,64651.0,412.0
2013-05-14,ZTS,NYSE,33.13,33.24,32.85,33.08,152910.0,897.0
2013-05-15,ZTS,NYSE,32.94,33.06,32.57,32.79,124136.0,606.0
2013-05-16,ZTS,NYSE,33.41,33.8,33.17,33.39,174731.0,891.0
2013-05-17,ZTS,NYSE,33.35,33.9,33.3,33.9,252931.0,1236.0
2013-05-20,ZTS,NYSE,33.9,34.0,33.6,33.71,151478.0,731.0
2013-05-21,ZTS,NYSE,33.57,33.72,32.99,33.04,240099.0,1270.0
2013-05-22,ZTS,NYSE,32.55,33.99,31.75,33.55,2583606.0,9251.0
2013-05-23,ZTS,NYSE,33.5,33.75,32.72,32.84,1506823.0,4799.0
2013-05-24,ZTS,NYSE,33.42,33.62,32.8,33.46,1040749.0,3859.0
2013-05-28,ZTS,NYSE,33.8,34.28,33.6,34.26,705158.0,2320.0
2013-05-29,ZTS,NYSE,34.25,34.25,32.88,32.95,368746.0,1649.0
2013-05-30,ZTS,NYSE,32.77,33.07,32.1,32.24,431268.0,1563.0
2013-05-31,ZTS,NYSE,32.3,32.31,31.8,32.0,2853903.0,2353.0
2013-06-03,ZTS,NYSE,32.01,32.84,31.33,32.75,494972.0,2152.0
2013-06-04,ZTS,NYSE,32.83,32.97,31.86,32.4,309245.0,1574.0
2013-06-05,ZTS,NYSE,32.42,32.42,31.75,32.17,383360.0,1591.0
2013-06-06,ZTS,NYSE,32.17,32.3,31.55,32.08,330850.0,1261.0
2013-06-07,ZTS,NYSE,32.26,32.26,31.22,31.5,257909.0,1065.0
2013-06-10,ZTS,NYSE,31.83,32.1,31.48,32.01,400487.0,1643.0
2013-06-11,ZTS,NYSE,31.88,32.0,31.4,31.7,617477.0,2616.0
2013-06-12,ZTS,NYSE,31.95,32.02,31.4,31.53,1219702.0,4611.0
2013-06-13,ZTS,NYSE,31.47,31.47,30.88,31.17,774297.0,3124.0
2013-06-14,ZTS,NYSE,31.0,31.26,30.62,30.8,1100848.0,3959.0
2013-06-17,ZTS,NYSE,31.36,31.75,30.71,30.96,3593108.0,10075.0
2013-06-18,ZTS,NYSE,31.39,31.39,30.95,31.18,2993755.0,8279.0
2013-06-19,ZTS,NYSE,31.06,31.23,30.82,31.0,4353327.0,8618.0
2013-06-20,ZTS,NYSE,31.0,31.04,30.05,30.19,3753907.0,12109.0
2013-06-21,ZTS,NYSE,30.84,31.06,30.34,30.6,9950437.0,17010.0
2013-06-24,ZTS,NYSE,30.0,30.5,29.41,30.38,12494557.0,15396.0
2013-06-25,ZTS,NYSE,30.8,31.61,30.5,31.49,1568135.0,4245.0
2013-06-26,ZTS,NYSE,31.9,31.9,30.95,30.97,7232248.0,9651.0
2013-06-27,ZTS,NYSE,31.5,31.5,30.79,30.87,1713156.0,3978.0
2013-06-28,ZTS,NYSE,30.95,31.39,30.54,30.89,5266297.0,8183.0
2013-07-01,ZTS,NYSE,31.0,31.02,30.13,30.61,4054639.0,7678.0
2013-07-02,ZTS,NYSE,30.14,30.81,29.66,29.7,2404444.0,4742.0
2013-07-03,ZTS,NYSE,29.64,29.74,28.97,29.28,2088069.0,4502.0
2013-07-05,ZTS,NYSE,29.85,30.18,29.78,30.17,2932656.0,6737.0
2013-07-08,ZTS,NYSE,30.5,30.97,30.22,30.94,3778495.0,6748.0
2013-07-09,ZTS,NYSE,31.12,31.4,30.94,30.98,1937680.0,3845.0
2013-07-10,ZTS,NYSE,31.1,31.24,30.47,31.04,1600131.0,4804.0
2013-07-11,ZTS,NYSE,31.43,31.45,30.85,30.92,1096453.0,2863.0
2013-07-12,ZTS,NYSE,31.02,31.37,31.01,31.35,1350774.0,3159.0
2013-07-15,ZTS,NYSE,31.31,31.65,31.1,31.58,908166.0,2186.0
2013-07-16,ZTS,NYSE,31.56,31.65,31.11,31.16,666224.0,1934.0
2013-07-17,ZTS,NYSE,31.19,31.22,30.85,30.99,1097683.0,2175.0
2013-07-18,ZTS,NYSE,31.15,31.2,30.77,30.82,925067.0,2013.0
2013-07-19,ZTS,NYSE,30.77,30.77,30.13,30.24,1581105.0,3585.0
2013-07-22,ZTS,NYSE,30.35,30.54,30.17,30.27,822454.0,2515.0
2013-07-23,ZTS,NYSE,30.41,30.41,29.76,30.06,818914.0,2219.0
2013-07-24,ZTS,NYSE,30.13,30.55,29.66,29.9,956287.0,2138.0
2013-07-25,ZTS,NYSE,29.88,30.55,29.71,30.52,960891.0,2574.0
2013-07-26,ZTS,NYSE,30.37,30.53,30.0,30.43,867212.0,2370.0
2013-07-29,ZTS,NYSE,30.27,30.53,29.98,30.09,693050.0,2026.0
2013-07-30,ZTS,NYSE,30.15,30.32,29.9,30.04,676545.0,2016.0
2013-07-31,ZTS,NYSE,30.03,30.19,29.8,29.81,1761355.0,2780.0
2013-08-01,ZTS,NYSE,29.95,30.21,29.46,30.16,1291447.0,2838.0
2013-08-02,ZTS,NYSE,30.01,30.96,29.91,30.94,1090881.0,2699.0
2013-08-05,ZTS,NYSE,30.81,31.39,30.5,31.25,1036199.0,3003.0
2013-08-06,ZTS,NYSE,31.75,32.5,31.09,31.13,1671213.0,5095.0
2013-08-07,ZTS,NYSE,31.1,31.4,30.65,31.24,1719121.0,2405.0
2013-08-08,ZTS,NYSE,31.39,31.83,31.19,31.24,769514.0,2330.0
2013-08-09,ZTS,NYSE,31.16,31.23,30.78,30.91,666452.0,1575.0
2013-08-12,ZTS,NYSE,30.73,30.94,30.04,30.33,1252363.0,3574.0
2013-08-13,ZTS,NYSE,30.5,30.74,30.2,30.45,550114.0,1971.0
2013-08-14,ZTS,NYSE,30.5,30.63,30.09,30.14,890956.0,3285.0
2013-08-15,ZTS,NYSE,30.0,30.16,29.79,30.02,1011114.0,3368.0
2013-08-16,ZTS,NYSE,29.91,30.18,29.76,30.0,928888.0,2065.0
2013-08-19,ZTS,NYSE,29.91,30.3,29.84,29.87,585680.0,1533.0
2013-08-20,ZTS,NYSE,29.86,30.4,29.72,30.23,1176211.0,3439.0
2013-08-21,ZTS,NYSE,30.04,30.19,29.6,29.85,1426574.0,3370.0
2013-08-22,ZTS,NYSE,29.83,30.01,29.57,29.87,677447.0,2407.0
2013-08-23,ZTS,NYSE,29.9,30.23,29.65,30.2,721932.0,1577.0
2013-08-26,ZTS,NYSE,30.16,30.16,29.65,29.8,3720334.0,2015.0
2013-08-27,ZTS,NYSE,29.56,29.66,29.0,29.2,1404710.0,3385.0
2013-08-28,ZTS,NYSE,29.14,29.83,28.81,29.57,1028185.0,3041.0
2013-08-29,ZTS,NYSE,29.4,29.6,29.25,29.47,380784.0,1090.0
2013-08-30,ZTS,NYSE,29.5,29.5,29.04,29.15,674232.0,1377.0
2013-09-03,ZTS,NYSE,29.58,29.76,29.19,29.43,641531.0,2021.0
2013-09-04,ZTS,NYSE,29.45,29.71,29.38,29.69,1056434.0,2203.0
2013-09-05,ZTS,NYSE,29.67,30.49,29.66,30.33,1040640.0,2966.0
2013-09-06,ZTS,NYSE,30.45,30.95,29.97,30.61,950438.0,2751.0
2013-09-09,ZTS,NYSE,30.68,31.0,30.36,30.59,533288.0,1606.0
2013-09-10,ZTS,NYSE,31.47,31.82,30.87,30.95,1456671.0,2526.0
2013-09-11,ZTS,NYSE,31.4,31.45,30.89,31.33,1661240.0,2222.0
2013-09-12,ZTS,NYSE,31.36,31.38,30.83,31.08,495783.0,1277.0
2013-09-13,ZTS,NYSE,31.08,31.29,30.91,31.05,647610.0,768.0
2013-09-16,ZTS,NYSE,31.53,32.17,31.4,31.85,1163481.0,2915.0
2013-09-17,ZTS,NYSE,32.0,32.51,31.99,32.38,747685.0,2236.0
2013-09-18,ZTS,NYSE,32.31,32.73,31.96,32.72,733543.0,2316.0
2013-09-19,ZTS,NYSE,32.76,32.9,32.16,32.51,1549071.0,1785.0
2013-09-20,ZTS,NYSE,32.71,32.75,31.87,32.19,8666628.0,2203.0
2013-09-23,ZTS,NYSE,32.19,32.19,31.35,31.58,857260.0,2151.0
2013-09-24,ZTS,NYSE,31.61,31.66,31.22,31.48,575893.0,1753.0
2013-09-25,ZTS,NYSE,31.55,31.59,31.03,31.06,731511.0,1811.0
2013-09-26,ZTS,NYSE,31.25,31.64,31.23,31.58,439759.0,1320.0
2013-09-27,ZTS,NYSE,31.56,31.56,31.05,31.15,524316.0,1445.0
2013-09-30,ZTS,NYSE,31.1,31.31,30.93,31.12,973366.0,1831.0
2013-10-01,ZTS,NYSE,31.12,32.03,31.01,31.78,707451.0,1832.0
2013-10-02,ZTS,NYSE,31.72,32.13,31.43,32.0,606863.0,1678.0
2013-10-03,ZTS,NYSE,31.81,31.82,31.34,31.48,360254.0,1396.0
2013-10-04,ZTS,NYSE,32.4,32.42,31.65,32.05,929569.0,2666.0
2013-10-07,ZTS,NYSE,31.73,32.37,31.66,31.93,1563837.0,2061.0
2013-10-08,ZTS,NYSE,31.84,32.08,31.47,31.53,756128.0,2376.0
2013-10-09,ZTS,NYSE,31.67,31.67,31.1,31.43,728770.0,2882.0
2013-10-10,ZTS,NYSE,31.78,32.36,31.52,32.36,589322.0,2147.0
2013-10-11,ZTS,NYSE,32.38,32.76,32.04,32.4,1370364.0,2739.0
2013-10-14,ZTS,NYSE,32.08,32.46,31.87,32.29,399267.0,1297.0
2013-10-15,ZTS,NYSE,32.28,32.41,32.0,32.07,370032.0,1120.0
2013-10-16,ZTS,NYSE,32.32,32.96,32.32,32.89,559030.0,1480.0
2013-10-17,ZTS,NYSE,32.81,33.18,32.79,33.03,404366.0,1294.0
2013-10-18,ZTS,NYSE,33.18,33.29,32.86,33.22,940301.0,1247.0
2013-10-21,ZTS,NYSE,33.2,33.33,32.63,32.77,1228813.0,1270.0
2013-10-22,ZTS,NYSE,32.85,32.99,32.26,32.51,429840.0,1597.0
2013-10-23,ZTS,NYSE,32.55,32.9,32.55,32.6,412948.0,1422.0
2013-10-24,ZTS,NYSE,32.75,32.84,32.5,32.74,277527.0,923.0
2013-10-25,ZTS,NYSE,32.8,32.8,32.35,32.47,313303.0,748.0
2013-10-28,ZTS,NYSE,32.53,32.53,31.95,31.98,592467.0,1457.0
2013-10-29,ZTS,NYSE,31.99,32.3,31.99,32.03,538869.0,2340.0
2013-10-30,ZTS,NYSE,32.22,32.61,31.96,32.06,590794.0,2044.0
2013-10-31,ZTS,NYSE,32.0,32.25,31.66,31.66,957606.0,2298.0
2013-11-01,ZTS,NYSE,31.77,31.92,31.38,31.84,765536.0,2300.0
2013-11-04,ZTS,NYSE,31.84,31.95,31.52,31.93,563078.0,2059.0
2013-11-05,ZTS,NYSE,31.93,31.96,31.26,31.69,990375.0,2719.0
2013-11-06,ZTS,NYSE,32.08,32.18,30.9,31.27,768024.0,2801.0
2013-11-07,ZTS,NYSE,31.38,31.528,30.86,31.04,857269.0,3056.0
2013-11-08,ZTS,NYSE,31.17,31.63,30.97,31.59,667930.0,1906.0
2013-11-11,ZTS,NYSE,31.7,32.0,31.63,31.77,346454.0,1286.0
2013-11-12,ZTS,NYSE,31.75,31.97,31.46,31.84,545418.0,1668.0
2013-11-13,ZTS,NYSE,31.65,31.78,31.28,31.72,1364030.0,1594.0
2013-11-14,ZTS,NYSE,31.96,32.17,31.49,31.68,449364.0,1747.0
2013-11-15,ZTS,NYSE,31.69,31.86,31.46,31.81,676141.0,1538.0
2013-11-18,ZTS,NYSE,31.84,31.96,31.47,31.62,560810.0,1817.0
2013-11-19,ZTS,NYSE,31.66,31.95,31.21,31.42,391956.0,1569.0
2013-11-20,ZTS,NYSE,31.42,31.8,31.23,31.37,420033.0,1625.0
2013-11-21,ZTS,NYSE,31.49,31.72,31.32,31.58,2470751.0,2066.0
2013-11-22,ZTS,NYSE,31.64,31.69,31.25,31.36,685731.0,1669.0
2013-11-25,ZTS,NYSE,31.37,31.41,31.06,31.29,1621724.0,2407.0
2013-11-26,ZTS,NYSE,31.46,31.92,31.39,31.42,1324466.0,2348.0
2013-11-27,ZTS,NYSE,31.45,31.53,31.11,31.28,363325.0,1081.0
2013-11-29,ZTS,NYSE,31.29,31.45,31.08,31.15,417019.0,831.0
2013-12-02,ZTS,NYSE,31.31,31.6,31.09,31.15,828197.0,2199.0
2013-12-03,ZTS,NYSE,31.13,31.23,30.89,31.09,900649.0,2415.0
2013-12-04,ZTS,NYSE,31.07,31.33,30.97,31.21,553876.0,1783.0
2013-12-05,ZTS,NYSE,31.2,31.7,31.0,31.44,1309877.0,2476.0
2013-12-06,ZTS,NYSE,31.61,31.68,31.3,31.54,558736.0,1528.0
2013-12-09,ZTS,NYSE,31.53,31.93,31.4,31.75,1061699.0,2133.0
2013-12-10,ZTS,NYSE,31.62,31.62,31.2,31.36,583118.0,2224.0
2013-12-11,ZTS,NYSE,31.43,31.51,30.77,31.09,1048360.0,2438.0
2013-12-12,ZTS,NYSE,30.98,31.4,30.98,31.17,630754.0,1977.0
2013-12-13,ZTS,NYSE,31.31,31.89,31.24,31.58,665048.0,2505.0
2013-12-16,ZTS,NYSE,31.67,32.0,31.56,32.0,517469.0,1813.0
2013-12-17,ZTS,NYSE,31.91,31.96,31.33,31.64,501605.0,1666.0
2013-12-18,ZTS,NYSE,31.61,32.19,31.3,32.17,937200.0,2367.0
2013-12-19,ZTS,NYSE,32.14,32.37,31.68,32.31,458619.0,1779.0
2013-12-20,ZTS,NYSE,32.45,32.69,32.28,32.38,1363796.0,2081.0
2013-12-23,ZTS,NYSE,32.61,32.64,32.16,32.37,445683.0,1689.0
2013-12-24,ZTS,NYSE,32.3,32.48,32.08,32.37,158859.0,583.0
2013-12-26,ZTS,NYSE,32.5,32.78,32.45,32.59,548717.0,1092.0
2013-12-27,ZTS,NYSE,32.69,32.76,32.49,32.67,501044.0,869.0
2013-12-30,ZTS,NYSE,32.74,32.84,32.57,32.67,345625.0,1353.0
2013-12-31,ZTS,NYSE,32.81,32.81,32.46,32.69,377514.0,869.0
2014-01-02,ZTS,NYSE,32.53,32.66,32.11,32.36,412190.0,1666.0
2014-01-03,ZTS,NYSE,32.34,32.5,32.03,32.05,449872.0,1651.0
2014-01-06,ZTS,NYSE,32.3,32.57,31.85,31.98,554339.0,1890.0
2014-01-07,ZTS,NYSE,32.19,32.44,31.95,32.1,615294.0,1820.0
2014-01-08,ZTS,NYSE,31.8,32.09,31.53,31.74,807486.0,2205.0
2014-01-09,ZTS,NYSE,31.83,31.97,31.54,31.96,472675.0,1598.0
2014-01-10,ZTS,NYSE,31.94,32.55,31.88,32.54,809937.0,2274.0
2014-01-13,ZTS,NYSE,32.39,32.42,31.7,31.78,1439412.0,2378.0
2014-01-14,ZTS,NYSE,31.93,31.98,31.65,31.85,456049.0,1562.0
2014-01-15,ZTS,NYSE,31.94,31.94,31.68,31.81,491828.0,1823.0
2014-01-16,ZTS,NYSE,31.82,32.08,31.71,32.0,397063.0,1526.0
2014-01-17,ZTS,NYSE,32.0,32.08,31.63,31.73,951960.0,1699.0
2014-01-21,ZTS,NYSE,32.02,32.09,31.26,31.27,2884762.0,2047.0
2014-01-22,ZTS,NYSE,31.46,31.67,31.26,31.46,660363.0,2208.0
2014-01-23,ZTS,NYSE,31.46,31.83,31.42,31.74,767315.0,2496.0
2014-01-24,ZTS,NYSE,31.6,31.66,31.3,31.46,977934.0,2645.0
2014-01-27,ZTS,NYSE,31.53,31.61,31.27,31.36,826850.0,2263.0
2014-01-28,ZTS,NYSE,31.32,31.62,31.19,31.44,571293.0,1727.0
2014-01-29,ZTS,NYSE,31.35,31.442,30.73,30.78,638117.0,2368.0
2014-01-30,ZTS,NYSE,31.07,31.33,30.6,30.67,751723.0,2436.0
2014-01-31,ZTS,NYSE,30.44,30.53,30.07,30.36,815182.0,2838.0
2014-02-03,ZTS,NYSE,30.44,30.55,30.14,30.37,887206.0,2703.0
2014-02-04,ZTS,NYSE,30.58,30.75,30.148,30.23,719984.0,2443.0
2014-02-05,ZTS,NYSE,30.2,30.38,29.95,30.13,1018534.0,1958.0
2014-02-06,ZTS,NYSE,30.16,30.24,30.0,30.05,594178.0,1986.0
2014-02-07,ZTS,NYSE,30.11,30.8,30.11,30.7,667487.0,2252.0
2014-02-10,ZTS,NYSE,30.78,31.53,30.78,31.14,1208613.0,3705.0
2014-02-11,ZTS,NYSE,29.66,29.75,28.77,29.13,2565496.0,10058.0
2014-02-12,ZTS,NYSE,29.25,30.13,29.24,30.0,1673094.0,5218.0
2014-02-13,ZTS,NYSE,29.9,30.16,29.56,29.67,1376488.0,4118.0
2014-02-14,ZTS,NYSE,29.67,30.0,29.56,29.88,1337152.0,4274.0
2014-02-18,ZTS,NYSE,29.91,30.59,29.91,30.27,1981610.0,3202.0
2014-02-19,ZTS,NYSE,30.08,30.14,29.63,29.75,857516.0,3060.0
2014-02-20,ZTS,NYSE,29.71,30.17,29.67,29.97,704775.0,2649.0
2014-02-21,ZTS,NYSE,29.99,30.02,29.53,29.61,853779.0,2317.0
2014-02-24,ZTS,NYSE,29.75,30.07,29.63,29.7,628112.0,1747.0
2014-02-25,ZTS,NYSE,29.56,30.38,29.56,30.13,708433.0,2411.0
2014-02-26,ZTS,NYSE,30.09,30.45,30.01,30.4,525848.0,2251.0
2014-02-27,ZTS,NYSE,30.4,30.74,30.35,30.72,681919.0,2571.0
2014-02-28,ZTS,NYSE,30.75,31.02,30.64,31.02,1051329.0,2853.0
2014-03-03,ZTS,NYSE,30.8,31.18,30.8,30.99,521333.0,2249.0
2014-03-04,ZTS,NYSE,31.23,31.3,30.8,30.89,671571.0,2079.0
2014-03-05,ZTS,NYSE,31.0,31.13,30.59,30.72,658816.0,2181.0
2014-03-06,ZTS,NYSE,30.82,31.05,30.67,30.78,552043.0,1509.0
2014-03-07,ZTS,NYSE,30.88,30.99,30.47,30.58,753402.0,2230.0
2014-03-10,ZTS,NYSE,30.62,30.64,30.2,30.35,1102936.0,1991.0
2014-03-11,ZTS,NYSE,30.47,30.63,30.08,30.28,510027.0,2114.0
2014-03-12,ZTS,NYSE,30.07,30.24,29.65,29.7,628413.0,1837.0
2014-03-13,ZTS,NYSE,29.72,29.75,29.06,29.25,911809.0,2253.0
2014-03-14,ZTS,NYSE,29.27,29.82,29.23,29.42,616033.0,2231.0
2014-03-17,ZTS,NYSE,29.48,29.61,29.32,29.38,595798.0,2042.0
2014-03-18,ZTS,NYSE,29.38,29.475,29.25,29.28,2249275.0,2103.0
2014-03-19,ZTS,NYSE,29.31,30.11,29.31,29.91,1075134.0,2616.0
2014-03-20,ZTS,NYSE,29.81,30.11,29.675,30.09,955166.0,2912.0
2014-03-21,ZTS,NYSE,30.34,30.34,29.19,29.26,4004624.0,3540.0
2014-03-24,ZTS,NYSE,29.21,29.38,28.97,29.14,830465.0,2686.0
2014-03-25,ZTS,NYSE,29.22,29.38,29.11,29.26,644843.0,2303.0
2014-03-26,ZTS,NYSE,29.39,29.45,29.17,29.21,683753.0,2119.0
2014-03-27,ZTS,NYSE,29.23,29.39,29.09,29.3,748590.0,3193.0
2014-03-28,ZTS,NYSE,29.46,29.51,28.92,29.01,859985.0,3051.0
2014-03-31,ZTS,NYSE,29.07,29.14,28.67,28.94,1737799.0,3243.0
2014-04-01,ZTS,NYSE,28.97,29.39,28.97,29.35,821638.0,2271.0
2014-04-02,ZTS,NYSE,29.28,29.69,29.15,29.62,554102.0,1871.0
2014-04-03,ZTS,NYSE,29.71,29.71,29.39,29.62,605424.0,1647.0
2014-04-04,ZTS,NYSE,29.64,30.0,29.21,29.32,1077969.0,3091.0
2014-04-07,ZTS,NYSE,29.25,29.31,28.86,29.0,665767.0,2520.0
2014-04-08,ZTS,NYSE,28.9,29.22,28.68,29.15,886309.0,2872.0
2014-04-09,ZTS,NYSE,29.22,29.22,28.78,29.06,695255.0,2574.0
2014-04-10,ZTS,NYSE,28.99,29.21,28.81,28.86,816069.0,2774.0
2014-04-11,ZTS,NYSE,28.76,28.87,28.28,28.4,915053.0,2768.0
2014-04-14,ZTS,NYSE,28.48,28.77,28.26,28.48,441020.0,1817.0
2014-04-15,ZTS,NYSE,28.57,28.57,28.14,28.55,697403.0,2516.0
2014-04-16,ZTS,NYSE,28.55,28.69,28.4,28.53,1305054.0,3361.0
2014-04-17,ZTS,NYSE,28.48,28.7,28.48,28.6,829066.0,2219.0
2014-04-21,ZTS,NYSE,28.72,29.06,28.54,29.03,813059.0,2360.0
2014-04-22,ZTS,NYSE,29.57,30.01,29.19,29.89,1580277.0,4464.0
